i,t,rho,beta,power,flux,s_Fuel,s_Precursors,s_Structure,s_Water,s_Xenon
11100,111.00000000001988,0.08798600530767538,0.006664082696485335,1320377.8862427878,1.573746486115435e-07,192.76594327360846,2.5533561439602028e-08,1960.8941677404896,41666.66666487234,0.0036942837879963483
11200,112.00000000002039,0.08800124517216498,0.006663899861066661,1441836.4699938546,1.7185118759166174e-07,192.76594197119525,2.7881565868958717e-08,1960.8941677404896,41666.66666470722,0.0036941330139238352
11300,113.0000000000209,0.08801715836433081,0.006663708601370647,1574491.4650218857,1.876622167270465e-07,192.76594054896518,3.044590678762546e-08,1960.8941677404896,41666.66666452692,0.003693975512710335
11400,114.00000000002142,0.08803380857325553,0.006663508245875093,1719378.4529566783,2.0493116605753402e-07,192.7659389958716,3.324657666515863e-08,1960.8941677404896,41666.66666433002,0.0036938106644617405
11500,115.00000000002193,0.08805126523685118,0.0066632980523698955,1877629.3529178454,2.2379294800142653e-07,192.7659372998458,3.6305424928816714e-08,1960.8941677404896,41666.66666411499,0.003693637792009762
11600,116.00000000002244,0.08806960408749065,0.006663077202153059,2050481.4798168086,2.4439503700633156e-07,192.7659354477024,3.964633204753226e-08,1960.8941677404896,41666.66666388019,0.0036934561555944886
11700,117.00000000002295,0.08808890774781476,0.006662844793624728,2239287.4719144073,2.668986528057936e-07,192.7659334250342,4.329540022549972e-08,1960.8941677404896,41666.66666362377,0.003693264947048867
11800,118.00000000002346,0.0881092663816217,0.006662599835227778,2445526.174310201,2.9148005761256164e-07,192.76593121609946,4.7281162343843897e-08,1960.8941677404896,41666.66666334369,0.003693063283437723
11900,119.00000000002397,0.08813077840514758,0.00666234123767815,2670814.574288879,3.183319786817562e-07,192.76592880369634,5.163481096046512e-08,1960.8941677404896,41666.666663037846,0.003692850200099181
12000,120.00000000002449,0.08815355126464443,0.006662067805422429,2916920.8947958704,3.476651689104101e-07,192.76592616902735,5.6390449369600264e-08,1960.8941677404896,41666.66666270382,0.0036926246430312565
